timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2021-01-10 13:55:29 +0000;51.682064;5.294149;6.713677;5.034174;5.034174;48.911938;8.736162
2021-01-10 13:55:30 +0000;51.682183;5.294175;6.338261;5.021714;5.021714;47.187255;9.516065
2021-01-10 13:55:31 +0000;51.682297;5.294196;5.926288;5.018863;5.018863;44.361891;8.700927
2021-01-10 13:55:32 +0000;51.682401;5.294213;5.509884;5.011882;5.011882;40.821162;7.573194
2021-01-10 13:55:33 +0000;51.682493;5.294232;5.284869;5.007396;5.007396;36.575353;7.253669
2021-01-10 13:55:35 +0000;51.682660;5.294267;4.972045;4.968175;4.968175;29.812084;2.845215
2021-01-10 13:55:37 +0000;51.682764;5.294260;4.802212;4.960992;4.960992;19.661423;354.428651
2021-01-10 13:56:00 +0000;51.682857;5.294230;6.571465;4.952377;4.952377;0.000000;340.803636
2021-01-10 13:56:07 +0000;51.682948;5.294172;7.072380;4.979407;4.979407;17.215452;341.472177
2021-01-10 13:56:09 +0000;51.683057;5.294088;7.334097;4.966142;4.966142;27.252457;335.955468
2021-01-10 13:56:11 +0000;51.683210;5.293962;7.861316;4.963924;4.963924;34.723010;334.583613
2021-01-10 13:56:12 +0000;51.683297;5.293908;7.906172;4.958183;4.958183;37.486256;341.068573
2021-01-10 13:56:13 +0000;51.683394;5.293872;7.859727;4.952465;4.952465;39.721312;357.093903
2021-01-10 13:56:14 +0000;51.683492;5.293856;7.985577;4.961561;4.961561;39.938186;357.093903
2021-01-10 13:56:15 +0000;51.683594;5.293861;8.408558;4.944672;4.944672;39.477570;9.486677
2021-01-10 13:56:16 +0000;51.683690;5.293896;8.471397;4.905848;4.905848;38.860630;13.115840
2021-01-10 13:56:17 +0000;51.683783;5.293955;8.907746;4.885384;4.885384;37.740995;9.929664
2021-01-10 13:56:18 +0000;51.683870;5.293997;8.393749;4.882815;4.882815;34.831790;5.403121
2021-01-10 13:56:20 +0000;51.684007;5.293881;8.146460;4.883176;4.883176;33.420928;325.337677
2021-01-10 13:56:22 +0000;51.684126;5.293673;8.129874;4.868338;4.868338;37.821911;307.415558
2021-01-10 13:56:23 +0000;51.684181;5.293558;8.230421;4.850944;4.850944;36.725444;307.415558
2021-01-10 13:56:25 +0000;51.684264;5.293374;7.423493;4.805470;4.805470;26.749409;303.817535
2021-01-10 13:56:28 +0000;51.684327;5.293264;6.661895;4.744519;4.744519;8.121158;312.323120
2021-01-10 13:56:38 +0000;51.684437;5.293163;5.947036;4.816444;4.816444;19.227211;332.179443
2021-01-10 13:56:40 +0000;51.684550;5.293082;6.356706;4.837385;4.837385;26.622640;348.968842
2021-01-10 13:56:42 +0000;51.684707;5.293072;6.375680;4.801214;4.801214;32.522833;5.797480
2021-01-10 13:56:44 +0000;51.684884;5.293138;7.020721;4.814319;4.814319;36.891291;10.106586
2021-01-10 13:56:45 +0000;51.684973;5.293174;6.917037;4.808913;4.808913;37.692787;11.338979
2021-01-10 13:56:46 +0000;51.685073;5.293195;7.321079;4.827269;4.827269;40.041827;11.338979
2021-01-10 13:56:47 +0000;51.685172;5.293228;7.539830;4.836581;4.836581;41.646177;11.338979
2021-01-10 13:56:48 +0000;51.685277;5.293272;7.530107;4.847049;4.847049;42.975085;11.338979
2021-01-10 13:56:49 +0000;51.685390;5.293297;7.786297;4.856361;4.856361;44.424063;15.143037
2021-01-10 13:56:50 +0000;51.685502;5.293339;7.270725;5.050731;5.050731;45.932654;15.143037
2021-01-10 13:56:51 +0000;51.685618;5.293388;7.141139;5.146904;5.146904;48.019880;24.249926
2021-01-10 13:56:52 +0000;51.685730;5.293475;7.073665;5.272179;5.272179;49.819648;24.249926
2021-01-10 13:56:53 +0000;51.685839;5.293562;7.278052;5.382282;5.382282;51.204412;24.249926
2021-01-10 13:56:54 +0000;51.685954;5.293662;7.205882;5.498674;5.498674;52.839958;26.174076
2021-01-10 13:56:55 +0000;51.686077;5.293758;7.282288;5.192289;5.192289;54.472126;26.918266
2021-01-10 13:56:56 +0000;51.686201;5.293858;7.362903;5.184644;5.184644;55.454588;27.207050
2021-01-10 13:56:57 +0000;51.686321;5.293954;7.291397;5.199443;5.199443;56.130503;27.207050
2021-01-10 13:56:58 +0000;51.686443;5.294055;7.377153;5.223277;5.223277;56.253683;27.207050
2021-01-10 13:56:59 +0000;51.686567;5.294153;7.420606;5.241251;5.241251;56.042813;27.207050
2021-01-10 13:57:00 +0000;51.686687;5.294249;7.426819;5.241494;5.241494;55.150828;27.207050
2021-01-10 13:57:01 +0000;51.686809;5.294348;7.453262;5.240268;5.240268;54.719608;27.069935
2021-01-10 13:57:02 +0000;51.686923;5.294439;7.305952;5.239549;5.239549;53.464829;27.069935
2021-01-10 13:57:03 +0000;51.687033;5.294534;7.223320;5.238065;5.238065;52.864142;27.069935
2021-01-10 13:57:04 +0000;51.687146;5.294630;7.175123;5.235918;5.235918;52.349757;27.069935
2021-01-10 13:57:05 +0000;51.687260;5.294722;7.175814;5.245654;5.245654;51.945199;27.069935
2021-01-10 13:57:06 +0000;51.687379;5.294819;7.176898;5.225014;5.225014;51.652148;27.069935
2021-01-10 13:57:07 +0000;51.687489;5.294908;7.128035;5.163077;5.163077;50.507259;27.069935
2021-01-10 13:57:08 +0000;51.687597;5.294996;7.074641;5.132749;5.132749;49.273334;27.067324
2021-01-10 13:57:09 +0000;51.687702;5.295080;7.052663;5.096258;5.096258;47.174439;27.067324
2021-01-10 13:57:10 +0000;51.687800;5.295159;7.072661;5.057576;5.057576;44.438618;27.998384
2021-01-10 13:57:11 +0000;51.687891;5.295235;6.895157;5.042845;5.042845;40.813494;29.147879
